,Expenditures on policing (in 1000 CAD) 2019,population (in thousands),expenditure/capita,,,,,,,,,EMPLOYEMENT RATE,,
Ontario,"5,874,511","11,608",506,,,,,,,,,Canada,58.6,
Quebec,"3,075,635","5,054",609,,,,,,,,,Nunavut,48.6,
BC,"1,855,215","2,963",626,,,,,,,,,Other territories,67.5,
Alberta,"1,748,054","2,970",589,,,,,,,,,,,
Manitoba,"563,336","1,162",485,,,,,,,,,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410028703,,
Saskatchewan,"542,341","1,111",488,,,,,,,,,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410029201,,
Nova Scotia,"346,249",683,507,,,,,,,,,,,
New Brunswick,"230,282",715,322,,,price of house,"500,000",,,,,Canada,Nunavut,Other territories
Newfoundland and Labrador,"166,452",362,460,,,rent + commute,"2,000",,,,,58.60%,48.60%,67.50%
Nunavut,"65,421",27,2423,,,,,,,,,,,
Northwest Territories,"63,466",83,765,,,ratio,20.83,,,,,,,
PEI,"41,400",78,531,,,,,,,,,,,
Yukon,"40,376",55,734,,,,,,,,,,,
canada (average),,,552,4.391715228,,,,,,,,,,
,,,,,,,,,,,,,,
https://www.statista.com/statistics/436414/total-expenditures-on-police-service-canada-by-province/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
REF_DATE,GEO,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,,,,,
2019,Canada,Total number of civilian and other personnel,Number,223,units,0,v19457794,1.3,31699,,,,,
2019,Newfoundland and Labrador,Total number of civilian and other personnel,Number,223,units,0,v19457801,2.3,362,,,,,
2019,Prince Edward Island,Total number of civilian and other personnel,Number,223,units,0,v19457808,3.3,78,,,,,
2019,Nova Scotia,Total number of civilian and other personnel,Number,223,units,0,v19457815,4.3,683,,,,,
2019,New Brunswick,Total number of civilian and other personnel,Number,223,units,0,v19457822,5.3,715,,,,,
2019,Quebec,Total number of civilian and other personnel,Number,223,units,0,v19457829,6.3,5054,,,,,
2019,Ontario,Total number of civilian and other personnel,Number,223,units,0,v19457836,7.3,11608,,,,,
2019,Manitoba,Total number of civilian and other personnel,Number,223,units,0,v19457843,8.3,1162,,,,,
2019,Saskatchewan,Total number of civilian and other personnel,Number,223,units,0,v19457850,9.3,1111,,,,,
2019,Alberta,Total number of civilian and other personnel,Number,223,units,0,v19457857,10.3,2970,,,,,
2019,British Columbia,Total number of civilian and other personnel,Number,223,units,0,v19457864,11.3,2963,,,,,
2019,Yukon,Total number of civilian and other personnel,Number,223,units,0,v19457871,12.3,55,,,,,
2019,Northwest Territories,Total number of civilian and other personnel,Number,223,units,0,v19457878,14.3,83,,,,,
2019,Nunavut,Total number of civilian and other personnel,Number,223,units,0,v19457891,15.3,27,,,,,
